Cariboo and West Okanagan (100 Mile House),V0K,32908,100 Mile House,32908
Abbotsford Southeast,V2S,48647,Abbotsford,141682
Abbotsford Southwest,V2T,56111,Abbotsford,141682
Abbotsford East,V3G,24150,Abbotsford,141682
Abbotsford West,V4X,12774,Abbotsford,141682
Harrison Lake Region (Agassiz),V0M,11761,Agassiz,11761
Chilcotin (Alexis Creek),V0L,11761,Alexis Creek,11761
Atlin Region (Atlin),V0W,557,Atlin,557
Burnaby (East Big Bend / Stride Avenue / Edmonds / Cariboo-Armstrong),V3N,39354,Burnaby,223073
Burnaby (Burnaby Heights / Willingdon Heights / West Central Valley),V5C,30408,Burnaby,223073
Burnaby (Lakeview-Mayfield / Richmond Park / Kingsway-Beresford),V5E,26272,Burnaby,223073
Burnaby (Cascade-Schou / Douglas-Gilpin),V5G,19862,Burnaby,223073
Burnaby (Maywood / Marlborough / Oakalla / Windsor),V5H,38845,Burnaby,223073
Burnaby (Suncrest / Sussex-Nelson / Clinton-Glenwood / West Big Bend),V5J,21918,Burnaby,223073
Burnaby (Government Road / Lake City / SFU / Burnaby Mountain),V5A,23960,Burnaby,223073
Burnaby (Parkcrest-Aubrey / Ardingley-Sprott),V5B,22454,Burnaby,223073
Campbell River Central,V9W,28743,Campbell River,38047
Campbell River Outskirts,V9H,9304,Campbell River,38047
Castlegar,V1N,12546,Castlegar,12546
Cedar,V9X,10300,Cedar,10300
Central Island (Chemainus),V0R,66795,Chemainus,66795
Chilliwack Central,V2P,36329,Chilliwack,89788
Chilliwack West,V2R,48608,Chilliwack,89788
Chilliwack East,V4Z,4851,Chilliwack,89788
Comox,V9M,17208,Comox,17208
Coquitlam North,V3J,40921,Coquitlam,71417
Coquitlam South,V3K,30495,Coquitlam,71417
Courtenay Northern Outskirts,V9J,8715,Courtenay,38795
Courtenay Central,V9N,30080,Courtenay,38795
Cranbrook,V1C,25413,Cranbrook,25413
Dawson Creek,V1G,15676,Dawson Creek,15676
Delta Northeast,V4C,44169,Delta,102913
Delta East,V4E,11839,Delta,102913
Delta East Central,V4G,86,Delta,102913
Delta Central,V4K,24414,Delta,102913
Delta Southeast,V4L,7893,Delta,102913
Delta Southwest,V4M,14512,Delta,102913
Duncan,V9L,34378,Duncan,34378
Esquimalt,V9A,38699,Esquimalt,38699
East Kootenays (Fernie),V0B,33080,Fernie,33080
Northern British Columbia (Fort Nelson),V0C,28830,Fort Nelson,28830
North Central Island and Bute Inlet Region (Gold River),V0P,6726,Gold River,6726
Upper Columbia Region (Golden),V0A,13920,Golden,13920
Highlands,V9B,44244,Highlands,44244
Similkameen (Hope),V0X,20629,Hope,20629
Kamloops Southwest,V1S,11279,Kamloops,95656
Kamloops Central and Southeast,V2C,23661,Kamloops,95656
Kamloops South and West,V2E,14672,Kamloops,95656
Kamloops North,V2H,6201,Kamloops,95656
Kamloops Northwest,V2B,39843,Kamloops,95656
Kelowna East,V1P,8028,Kelowna,145707
Kelowna North,V1V,21155,Kelowna,145707
Kelowna Southwest,V1W,34573,Kelowna,145707
Kelowna East Central,V1X,33273,Kelowna,145707
Kelowna Central,V1Y,34310,Kelowna,145707
Kelowna West,V1Z,14368,Kelowna,145707
Kimberley,V1A,8414,Kimberley,8414
Kitimat,V8C,8131,Kitimat,8131
Ladysmith,V9G,14772,Ladysmith,14772
Langley Township North,V1M,31176,Langley,143758
Langley Township Northwest,V2Y,35222,Langley,143758
Langley Township Southwest,V2Z,15520,Langley,143758
Langley Township East,V4W,19443,Langley,143758
Langley City,V3A,42397,Langley,143758
Maple Ridge East,V2W,19022,Maple Ridge,82251
Maple Ridge West,V2X,47944,Maple Ridge,82251
Maple Ridge Northwest,V4R,15285,Maple Ridge,82251
Merritt,V1K,9265,Merritt,9265
Metchosin,V9C,22785,Metchosin,22785
